sku,name,type,price,description
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet"
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! "
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet"
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! "
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
JAF-002,doctor stew,ItemType.JAFFLE,1100,house-made beef stew jaffle
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
JAF-001,nutellaphone who dis?,ItemType.JAFFLE,1100,nutella and banana jaffle
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! "
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! "
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
JAF-005,mel-bun,ItemType.JAFFLE,1200,"melon and minced beef bao, in a jaffle, savory and sweet"
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
JAF-003,the krautback,ItemType.JAFFLE,1200,lamb and pork bratwurst with house-pickled cabbage sauerkraut and mustard
BEV-005,adele-ade,ItemType.BEVERAGE,400,"a kiwi and lime agua fresca, hello from the other side of thirst"
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
BEV-004,for richer or pourover ,ItemType.BEVERAGE,700,daily selection of single estate beans for a delicious hot pourover
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
JAF-004,flame impala,ItemType.JAFFLE,1400,"pulled pork and pineapple al pastor marinated in ghost pepper sauce, kevin parker's favorite! "
BEV-002,chai and mighty,ItemType.BEVERAGE,500,oatmilk chai latte with protein boost
BEV-003,vanilla ice,ItemType.BEVERAGE,600,iced coffee with house-made french vanilla syrup
BEV-001,tangaroo,ItemType.BEVERAGE,600,mango and tangerine smoothie
